rgi_id,b_mean,b_sd,b_lo95,b_hi95,classified_95,prob_direction,mde,bh_fdr05
220001,-0.0527721256959307,0.020946010600016,-0.0944387094162572,-0.0117977481031944,True,0.994,0.0410541807760314,False
220002,-0.0086694916065152,0.0291630655914583,-0.0662137238886292,0.048755963703343,False,0.6195,0.0571596085592584,False
220003,-0.005281331203115,0.0307239961613921,-0.0634415084767954,0.0548479121500505,False,0.574875,0.0602190324763286,False
220004,-0.0254426536399975,0.0328049469696133,-0.0887103920187799,0.0405423296695087,False,0.781125,0.064297696060442,False
220005,-0.0277020228697421,0.0303779628634591,-0.0876920028154622,0.0320030825036562,False,0.8205,0.0595408072123799,False
220006,-0.0369387384054667,0.0256205450538747,-0.0872551322361647,0.0130786370953482,False,0.921,0.0502162683055945,False
220007,-0.0136945090813741,0.0286621450789764,-0.06918331015471,0.0418738957036034,False,0.680375,0.0561778043547937,False
220008,-0.0361104714554396,0.0285553748655744,-0.0919629929563163,0.0201829707184512,False,0.89875,0.0559685347365258,False
220009,-0.0594943594762524,0.0261310300649845,-0.11145516028168,-0.0092900434671401,True,0.98825,0.0512168189273697,False
220010,-0.0269783610332452,0.0301127305238852,-0.0861472108091921,0.032219006272881,False,0.81725,0.059020951826815,False
220011,-0.0253082214172932,0.0330540981843649,-0.0891204943883022,0.038484201662158,False,0.775625,0.0647860324413552,False
220012,-0.0193500748837838,0.0350895305468964,-0.0866494530366965,0.0488952639469167,False,0.7135,0.0687754798719169,False
220013,-0.0342104610471598,0.0295322383511088,-0.0923398012104218,0.0235235569067367,False,0.87375,0.0578831871681732,False
220014,-0.0212297305616645,0.033106989796762,-0.0854126600281958,0.0443667469056435,False,0.742125,0.0648897000016536,False
220015,0.0050088379331116,0.0300720877930498,-0.0543390727652451,0.0651685534380714,False,0.5645,0.0589412920743776,False
220016,-0.025007982113905,0.0321823886823375,-0.0880242966561145,0.0381169810807608,False,0.784875,0.0630774818173815,False
220017,-0.0015754757787278,0.0302547587362372,-0.0606350721136438,0.0574998969791158,False,0.522875,0.0592993271230249,False
220018,-0.0369130549695879,0.0326744844172396,-0.102243937465665,0.0272535533799945,False,0.87425,0.0640419894577897,False
220019,-0.0497535416453355,0.0350688485380744,-0.1192146880222811,0.0182331400379867,False,0.918875,0.0687349431346258,False
230001,-0.0473471664089339,0.0164747478765847,-0.0799311858359986,-0.0149708163508736,True,0.997625,0.0322905058381061,False
230002,-0.0516388389521392,0.0260594959122467,-0.1029071485626226,-0.0003749903955649,True,0.97625,0.0510766119880035,False
230003,-0.0084794860192156,0.0294495329163797,-0.0654650782601187,0.0480946749197556,False,0.612625,0.0577210845161042,False
230004,-0.0427407715024145,0.0297256681194547,-0.1016161694460265,0.0157738331339712,False,0.92525,0.0582623095141313,False
230005,-0.0747911693497955,0.0315611896512845,-0.1370307459027367,-0.0123855139382908,True,0.990875,0.0618599317165176,False
230006,-0.0301075541967579,0.0256453776246933,-0.0807973340861432,0.0205638398193483,False,0.883125,0.0502649401443989,False
230007,-0.028617724756177,0.0259154045266954,-0.0790703468189158,0.0224230045518736,False,0.86525,0.050794192872323,False
230008,-0.0346919004924208,0.0307893674493942,-0.0946228166426336,0.0265400238095193,False,0.869875,0.0603471602008126,False
230009,-0.022285171571847,0.0277900188025596,-0.0763518600633162,0.0317725401741886,False,0.787125,0.0544684368530168,False
230010,-0.046267180003911,0.03141094180801,-0.1090886472567491,0.0146065475528158,False,0.93425,0.0615654459436997,False
230011,-0.0639488502965313,0.0212591328614211,-0.1050884316151167,-0.0223268513919955,True,0.998875,0.0416679004083853,False
230012,-0.045527464154396,0.0285203521768864,-0.1020125333646457,0.0088976059952383,False,0.94925,0.0558998902666974,False
230013,-0.0502202669113005,0.0266985335372961,-0.1032101173291187,0.0023779748857524,False,0.969125,0.0523291257331004,False
230014,-0.0461215301066842,0.031880167472183,-0.1088529032221733,0.0159542737197676,False,0.92525,0.0624851282454787,False
230015,-0.0492268062320894,0.0244697020084991,-0.0973226473876674,-0.0010177075478063,True,0.977875,0.0479606159366582,False
230016,-0.0577277991888292,0.0242558988613529,-0.104841576140216,-0.0103949496639189,True,0.99125,0.0475415617682517,False
230017,-0.0384081486095058,0.0284478817960522,-0.0937328404396853,0.0179553183340106,False,0.9105,0.0557578483202624,False
230018,-0.0124836211643227,0.030391032000707,-0.0720456425852799,0.0469524152298331,False,0.66,0.0595664227213857,False
240001,-0.0865973044182807,0.0194511874218735,-0.1252831268226281,-0.048689339483954,True,1.0,0.0381243273468721,True
240002,-0.0262703465306819,0.0306988904640909,-0.0873714685182663,0.0347919728552982,False,0.809625,0.0601698253096182,False
240003,-0.0247878091795228,0.0305306097212684,-0.0846597259098205,0.0351043505114279,False,0.792125,0.0598399950536861,False
240004,-0.0441162458143426,0.0314765795857366,-0.1068906865360568,0.0161410989510306,False,0.920875,0.0616940959880439,False
240005,-0.0209351433637366,0.0328984221764215,-0.0854350022245463,0.0426962379523054,False,0.737375,0.0644809074657861,False
240006,-0.0267827097199652,0.0340096167469338,-0.0943580910639133,0.0407241737623203,False,0.7895,0.0666588488239904,False
240007,-0.0294705568234535,0.0305154302988221,-0.0899649056288829,0.0293455609106136,False,0.833625,0.0598102433856914,False
240008,-0.0193439331641715,0.0308633665568221,-0.0806050815852754,0.0407221339138501,False,0.736,0.0604921984513714,False
240009,0.0054967699686316,0.0246664173616094,-0.0428433951961862,0.0547614417649782,False,0.5875,0.0483461780287544,False
240010,-0.0033966273417017,0.0281240234756362,-0.0579355016309862,0.0521773003000714,False,0.552625,0.055123086012247,False
240011,0.0168037133589449,0.0282723111643783,-0.0382787039694156,0.0723969086005156,False,0.71675,0.0554137298821816,False
250001,-0.0417219392125763,0.0191904977793765,-0.0794595385256345,-0.0043317231245397,True,0.986,0.037613375647578,False
