rgi_id,b_mean,b_lo95,b_hi95,changed_vs_zero,delta_mean,delta_lo95,delta_hi95,lagging,leading,label
170010,0.003158113039105832,-0.03408376905452736,0.04078303944648097,False,0.025432763830798934,-0.01155019164483368,0.06254262069931125,False,False,No determination
170011,-0.002554879413049413,-0.042852817605868926,0.03854300801865762,False,0.019719771378643686,-0.020588247202112955,0.06009318263404691,False,False,No determination
210001,-0.030166422318196415,-0.0554995296832301,-0.005346675977494285,True,-0.007891771526503312,-0.03373689788621113,0.017247900095281946,False,False,"Changed, in line with the country"
210002,-0.023623526763199662,-0.053168526537628304,0.006393314961287164,False,-0.001348875971506564,-0.0316019388326573,0.028804508003364884,False,False,No determination
210003,-0.035068595911358864,-0.06578180224214768,-0.003645461334542523,True,-0.012793945119665763,-0.043910155002378645,0.019007309814552426,False,False,"Changed, in line with the country"
210004,-0.04353816186478875,-0.07695326764217969,-0.01130179329266429,True,-0.021263511073095657,-0.05449155262198323,0.011026726077360566,False,False,"Changed, in line with the country"
210005,-0.03762987348341868,-0.06886842344115116,-0.007961965663878847,True,-0.015355222691725583,-0.046643601208215875,0.014525396902138965,False,False,"Changed, in line with the country"
210006,-0.018383288696152605,-0.050675318445331775,0.01601234439310578,False,0.003891362095540497,-0.028750624881722687,0.038821291258631714,False,False,No determination
210007,-0.02028784935190815,-0.053987473448901806,0.013497820751757417,False,0.0019868014397849488,-0.03180039639323104,0.03583801082249792,False,False,No determination
210008,-0.03666432264114335,-0.07130060731369474,-0.0008328702835959402,True,-0.01438967184945025,-0.04906602426494395,0.021151338530468442,False,False,"Changed, in line with the country"
210009,-0.025737661132970387,-0.0544695124822226,0.004090454675441098,False,-0.003463010341277288,-0.032646454051769004,0.026311515042137447,False,False,No determination
210010,-0.041596235171021165,-0.07069186537115686,-0.01300491258501849,True,-0.019321584379328058,-0.048617874728768676,0.00943527118739636,False,False,"Changed, in line with the country"
210011,-0.02280613844703528,-0.05474279776884693,0.010401765394710829,False,-0.0005314876553421773,-0.0329436177731952,0.03273700112544826,False,False,No determination
210012,-0.013596486907764046,-0.04696290270916328,0.019943401757566537,False,0.008678163883929052,-0.02500337700197585,0.04263361044830359,False,False,No determination
210013,-0.03654071998416531,-0.06736181654226213,-0.006532054788785865,True,-0.014266069192472215,-0.045600069280206476,0.01608156945557095,False,False,"Changed, in line with the country"
210014,-0.03965463680933501,-0.07237317579268546,-0.007115738375293174,True,-0.01737998601764191,-0.050499507017712844,0.014875937352854557,False,False,"Changed, in line with the country"
210015,-0.026894255257686902,-0.057851023761061646,0.005045636969112276,False,-0.0046196044659938,-0.035910610627735255,0.02753648122590013,False,False,No determination
210016,-0.014705540081971544,-0.047169427916769896,0.01664411848810837,False,0.007569110709721557,-0.024858554715460206,0.03924458304346191,False,False,No determination
210017,-0.005854986533210965,-0.03933252282967595,0.02908820791127953,False,0.016419664258482135,-0.01755136458133566,0.051332618168499086,False,False,No determination
210018,-0.013454894943329942,-0.0489925220534291,0.022998165369337943,False,0.008819755848363158,-0.026336987410187262,0.04544458780280301,False,False,No determination
210019,-0.027389549895458755,-0.054505085113499184,0.00046258444673157224,False,-0.005114899103765658,-0.03255593744382381,0.02307886467291303,False,False,No determination
210020,-0.03073177782199639,-0.05971444354617144,-0.0010519987664302814,True,-0.008457127030303284,-0.03746630451673378,0.021333809943981066,False,False,"Changed, in line with the country"
210021,-0.04418817329189973,-0.07477036858230132,-0.014899306547145295,True,-0.021913522500206627,-0.05256869074001375,0.007596398610155057,False,False,"Changed, in line with the country"
210022,-0.040148626305576814,-0.07044580884928058,-0.0101227500833649,True,-0.017873975513883714,-0.04882890274153536,0.012552234820739847,False,False,"Changed, in line with the country"
220001,-0.05270227748077387,-0.0816075992771018,-0.024248381723247826,True,-0.030427626689080778,-0.05978494770643934,-0.0014164716300093581,False,True,Ahead of the country
220002,-0.018605708680338003,-0.05411420333747694,0.01792194588495293,False,0.0036689421113550945,-0.03201608171222846,0.04003051701659394,False,False,No determination
220003,-0.021176530507524133,-0.05750618833939225,0.015723067695183113,False,0.0010981202841689626,-0.035657257554599676,0.03819149958375339,False,False,No determination
220004,-0.021189838834388464,-0.058489304961286924,0.01762785071352549,False,0.0010848119573046335,-0.036280649977658085,0.0403557934115878,False,False,No determination
220005,-0.03883479252950457,-0.07489058541504483,-0.0020617809886239714,True,-0.016560141737811476,-0.05257295895342737,0.019962630125834734,False,False,"Changed, in line with the country"
220006,-0.02993089357761855,-0.061179477307180825,0.0013390142601442318,False,-0.007656242785925451,-0.03922740683512337,0.023821545058493546,False,False,No determination
220007,-0.023540160302188893,-0.058301527923576436,0.012029455060740303,False,-0.0012655095104957936,-0.036329426136646345,0.034346619885448626,False,False,No determination
220008,-0.02726104432566987,-0.06184821563077747,0.008334801458011012,False,-0.00498639353397677,-0.03992262872340175,0.0305537648739267,False,False,No determination
220009,-0.03924236076278009,-0.07185856122243604,-0.006012690412550942,True,-0.016967709971086996,-0.04993712838699045,0.01651540489457534,False,False,"Changed, in line with the country"
220010,-0.027968899424456645,-0.06387764854758228,0.008778328362899806,False,-0.0056942486327635445,-0.04181228866730392,0.030989853514326503,False,False,No determination
220011,-0.03027491222427894,-0.0688342383764794,0.008401940388727613,False,-0.008000261432585837,-0.04740635286847971,0.03084433831809543,False,False,No determination
220012,-0.030470639380307075,-0.07060833066882088,0.009359266500993127,False,-0.008195988588613973,-0.048856513121406764,0.03203293743480804,False,False,No determination
220013,-0.030394802055203732,-0.06697989142666963,0.004750281458000229,False,-0.008120151263510634,-0.044585176629219056,0.027567256766290123,False,False,No determination
220014,-0.01706962797970117,-0.05603138652319607,0.02359748579566519,False,0.0052050228119919295,-0.034257145784547624,0.0456779444013449,False,False,No determination
220015,-0.024533966058169317,-0.05952957764266202,0.01138203571337873,False,-0.0022593152664762144,-0.03797673099762597,0.033641026029566985,False,False,No determination
220016,-0.030055977104717222,-0.06745725080136766,0.007601336005234386,False,-0.007781326313024124,-0.0451117461588494,0.029985530316943107,False,False,No determination
220017,-0.02027931564100917,-0.055989095683915815,0.01574288676993618,False,0.0019953351506839323,-0.03358996038364358,0.03815017164346328,False,False,No determination
220018,-0.03600870719142488,-0.0746407868164121,0.0015281314899215517,False,-0.013734056399731777,-0.05225550293522856,0.02360678915992814,False,False,No determination
220019,-0.03458782515342787,-0.07359091216963703,0.0031887094718834946,False,-0.01231317436173477,-0.05196742198223073,0.02544278140608241,False,False,No determination
230001,-0.026686307032306757,-0.0503710412009919,-0.002756993409207603,True,-0.004411656240613657,-0.028459525023822513,0.019234339643586916,False,False,"Changed, in line with the country"
230002,-0.029142372862872374,-0.06083258192683572,0.0019553822684456007,False,-0.006867722071179274,-0.03879384456266744,0.024631686310083677,False,False,No determination
230003,-0.02256329712423284,-0.056413561279263655,0.012554288240988505,False,-0.00028864633253973705,-0.03467935231646413,0.03460027170969914,False,False,No determination
